COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
411 022 2024 0010750 D;3506910080;1;31500,0000;NB;11372,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;2;14300,0000;NB;9260,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;5;433570,0000;NB;228804,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4009420000;1;2400,0000;NB;35855,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;5;16000,0000;NB;61019,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;9;2776126,0000;NB;2698999,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;1;99060,0000;NB;148649,6200;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3824990029;3;20,0000;NB;209864,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3909509000;1;55,0000;NB;56079,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;3;10000,0000;M;6794,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;4;331300,0000;NB;81622,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;4;3600,0000;M;660,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;5;124000,0000;NB;17049,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3921130000;1;17640,0000;NB;28739,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;6;106000,0000;NB;77293,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4005108000;3;51200,0000;NB;40220,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;10;89650,0000;NB;157800,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;7;8225,0000;NB;6104,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3921130000;3;25200,0000;NB;4235,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;10;42660,0000;NB;94048,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4008290000;1;15000,0000;NB;2303,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;16;49700,0000;NB;80359,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;9;311000,0000;NB;61171,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;11;161700,0000;NB;69348,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;6;1800,0000;NB;1741,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;17;816425,0000;M;1132243,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;18;742265,0000;NB;1983631,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3824990029;2;20,0000;NB;202117,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3909319000;2;55,0000;NB;54118,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;3;6000,0000;NB;1904,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;4;501400,0000;NB;62203,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;3;16000,0000;NB;61284,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;4;1800,0000;NB;1747,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;8;1159348,0000;NB;1748475,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;5;14200,0000;M;15587,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;6;334200,0000;NB;70241,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;7;23400,0000;NB;35955,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;11;365104,0000;NB;815225,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4016999600;2;1930,0000;NB;44223,1190;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;3;30849,0000;NB;251358,2310;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;12;238200,0000;NB;107279,5810;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;1;99400,0000;NB;136224,5200;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;1;5712,0000;NB;15749,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4008110099;1;20000,0000;NB;3021,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;2;31640,0000;NB;52333,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;3;1030600,0000;NB;168805,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4005108000;2;106400,0000;NB;80771,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;6;355440,0000;M;137069,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;7;1179650,0000;NB;920576,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3824990029;1;20,0000;NB;203737,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3909319000;1;55,0000;NB;54551,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;1;10000,0000;NB;16334,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;1;3600,0000;M;642,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;2;310001,0000;NB;14953,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;2;26600,0000;NB;70818,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4005108000;1;41600,0000;NB;31789,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;4;336227,0000;M;717629,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;5;429606,0000;NB;684178,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3506910080;2;30000,0000;NB;10850,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3824990029;4;20,0000;NB;201599,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3909319000;3;55,0000;NB;53979,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;7;14600,0000;M;12993,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3917313012;8;307400,0000;NB;44552,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;6;3,0000;NB;2994,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;9;83600,0000;NB;42563,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4009420000;2;2400,0000;NB;35618,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;14;181692,0000;M;564034,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;15;184600,0000;NB;2004218,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;19;55980,0000;NB;162374,0250;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3921130000;2;25200,0000;NB;4178,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;8;23526,0000;NB;54997,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4008110099;2;30000,0000;NB;4545,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;13;13800,0000;NB;45768,0000;;26/11/2024;26/11/2026
